                              | phys frel  mag | phys  frel  mag    re    ar      pa    n     | phys  frel  mag    hr    ar      pa   mu0    | phys  frel  mu0   rout   ar     pa    | phys frel mu0    rs    hs      pa   | phys  frel  mag   re     ar    pa  n         | phys  frel  mag    hr    ar     pa    mu0    | phys  frel  mu0   rout   ar     pa    | phys frel mu0    rs    hs     pa   
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
37    ESO234-049  dd      2 5 |    -      -    |      -      -      -      -      -      -    |D    0.930 12.905   14.6  0.925   78.2 20.722 |D    0.070 21.274   17.3  0.530  153.2 |    -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |    -      -      -      -      -    
38    ESO236-039  d       1 5 |    -      -    |      -      -      -      -      -      -    |D    1.000 15.452   10.2  0.465   83.7 22.491 |      -      -      -      -      -    |    -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |    -      -      -      -      -    
39    ESO237-049  zn      2 4 |N  0.013 19.355 |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |Z  0.987 20.985   14.9  3.697   35.8 |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |    -      -      -      -      -    
40    ESO237-052  bdbarf  3 5 |    -      -    |B    0.030 17.987    3.3  0.634   14.6  0.955 |D    0.944 14.231   14.4  0.484   59.7 22.014 |BAR  0.026 22.462   15.0  0.228   53.6 |    -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |    -      -      -      -      -    
41    ESO238-018  dbar    2 5 |    -      -    |      -      -      -      -      -      -    |D    0.958 14.317   10.1  0.910    7.5 21.326 |BAR  0.042 21.242   11.2  0.195  132.2 |    -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |    -      -      -      -      -    
42    ESO240-004  z       1 4 |    -      -    |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |Z  1.000 22.369   14.1  4.926  139.9 |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |    -      -      -      -      -    
43    ESO240-011  bz      2 4 |    -      -    |B    0.190 12.831    7.5  0.607  116.0  4.013 |      -      -      -      -      -      -    |      -      -      -      -      -    |Z  0.810 18.562   28.6  4.663  127.5 |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |    -      -      -      -      -    
44    ESO245-005  dd      2 3 |    -      -    |D    0.135 15.124   43.9  0.405  114.2  0.162 |D    0.865 12.596   83.2  0.738  138.1 24.193 |      -      -      -      -      -    |    -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |    -      -      -      -      -    
45    ESO245-007  d       1 3 |    -      -    |      -      -      -      -      -      -    |D    1.000 12.588   74.3  0.926   34.3 23.939 |      -      -      -      -      -    |    -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |    -      -      -      -      -    
46    ESO248-002  dbarf   2 5 |    -      -    |      -      -      -      -      -      -    |D    0.982 13.340   29.8  0.243   14.6 22.704 |BAR  0.018 22.697   21.0  0.223   33.3 |    -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |    -      -      -      -      -    
47    ESO249-008  dd      2 5 |    -      -    |      -      -      -      -      -      -    |D    0.406 14.991    3.7  0.678  160.9 19.850 |      -      -      -      -      -    |    -      -      -      -      -    |      -      -      -      -      -      -    |D    0.594 14.566   10.7  0.678  160.9 21.712 |      -      -      -      -      -    |    -      -      -      -      -    
48    ESO249-026  d       1 5 |    -      -    |      -      -      -      -      -      -    |D    1.000 15.479   14.6  0.541  172.2 23.293 |      -      -      -      -      -    |    -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |    -      -      -      -      -    
49    ESO249-027  d       1 5 |    -      -    |      -      -      -      -      -      -    |D    1.000 14.858   16.6  0.332   85.3 22.953 |      -      -      -      -      -    |    -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |    -      -      -      -      -    
