objname,ra2000,de2000,t,type,logd25,d25,bt,incl,ned_v_helio,ned_v_corr,ned_dist_z_corr,ned_dist_0,hyperleda_v_helio,hyperleda_dist_z_helio,hyperleda_dist_0,dist_best
NGC1924,82.0083,-5.31064,4.0,SBbc,1.2,1.58489336647576,13.26,45.8,2558.0,2551.0,34.83069361,39.14,2541,34.69415619879846,30.478930888386767,30.4789308884
NGC2110,88.04745,-7.45607,-3.0,E-S0,1.26,1.819700818650877,13.50,46.4,2335.0,2350.0,32.0862916439,35.6,2312,31.567449481157816,,35.6
NGC2207,94.09185,-21.37271,4.6,SABc,1.69,4.89778883899247,12.14,58.2,2741.0,2774.0,37.8754778809,26.5,2748,37.52048061168759,,26.5
IC2163,94.1166,-21.3759,5.2,Sc,1.53,3.388441338170015,11.76,78.2,2765.0,2799.0,38.2168214091,24.7,2721,37.15182960131073,18.19699819673495,18.1969981967
NGC2146,94.6569,78.35693,2.3,SBab,1.73,5.370318199557904,10.53,37.4,893.0,1219.0,16.6439104315,25.19,896,12.233752048061167,26.668593906901698,26.6685939069
NGC2273,102.53655,60.84584,0.9,Sa,1.36,2.290867728226077,12.62,57.4,1840.0,2083.0,28.4407427635,30.97,1848,25.232113599126144,30.478930888386767,30.4789308884
PGC2807061,105.1176,-4.20713,10.0,I,1.3,1.9952620958974432,18.00,61.7,299.0,158.0,2.15729109776,1.69,290,3.9595849262697973,1.6749427877536165,1.67494278775
ESO491-020,107.44515,-27.56889,3.0,SBb,1.12,1.3182567530303144,13.83,46.6,2965.0,3049.0,41.6302566903,50.8,2876,39.26815947569632,48.9778883899247,48.9778883899
ESO491-021,107.45805,-27.57488,2.1,SBab,1.22,1.6595870167669808,13.65,79.0,2965.0,3049.0,41.6302566903,,2847,38.872200983069355,,41.6302566903
UGC03701,107.92785,72.16919,6.0,Sc,1.24,1.7378008669100269,15.04,0.0,2915.0,3156.0,43.0912069907,,2915,39.80065537957398,,43.0912069907
ESO428-014,109.12995000000001,-29.32481,-1.8,S0,1.3,1.9952620958974432,13.29,62.1,1698.0,1693.0,23.1157837247,23.2,1707,23.30693610049153,,23.2
NGC2403,114.2142,65.60242,6.0,SABc,2.3,19.952620958974435,8.82,61.3,133.0,332.0,4.53304205352,3.49,141,1.9251774986346257,3.206269634296235,3.2062696343
ESO560-004,114.75195,-22.04626,4.2,Sbc,1.14,1.3803842191347617,15.40,87.4,2183.0,2253.0,30.7618787548,33.0,2183,29.80611687602402,37.49729001427425,37.4972900143
