objname,ra2000,de2000,t,type,v,logd25,d25,bt,incl,col10,_r,_RAJ2000,_DEJ2000,WISE,RAJ2000,DEJ2000,eeMaj,eeMin,eePA,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,cntr,snr1,chi2W1,snr2,chi2W2,snr3,chi2W3,snr4,chi2W4,nb,na,sat1,sat2,sat3,sat4,ccf,ex,var,nW1,mW1,nW2,mW2,nW3,mW3,nW4,mW4,2Mkey,d2M
NGC4378,186.32535,4.92514,1.0,Sa,2557,1.32,2.089296383189619,12.60,23.9,,1.21E-4,186.325471,4.925147,J122518.11+045530.5,186.325471,4.925147,0.069,0.066,146,9.555,0.022,9.595,0.02,8.443,0.024,7.015,0.096,11.606,0.053,11.07,0.069,10.298,0.034,1868104501241013722,49.9,51.5,54.5,27.9,45.6,2.13,11.3,1.07,1,0,0.0,0.0,0.0,0.0,0000,5,9211,38,21,21,13,13,9,9,7,855542742,0.409
NGC4379,186.31125,15.60742,-2.8,E-S0,1050,1.27,1.8620870548831208,12.64,42.5,,2.48E-4,186.311502,15.607472,J122514.76+153626.8,186.311502,15.607472,0.074,0.071,162,9.762,0.022,9.79,0.02,9.456,0.035,8.929,0.414,11.684,0.052,11.17,0.075,11.147,0.079,1862115101241025276,48.6,56.2,53.7,30.9,31.4,1.73,2.6,0.971,1,0,0.0,0.0,0.0,0.0,0000,5,940n,111,13,13,13,13,13,13,0,846846990,0.025
NGC4380,186.34215,10.01674,2.3,Sab,950,1.52,3.3113110693986716,12.63,62.0,,3.44E-4,186.34248,10.016854,J122522.19+100100.6,186.34248,10.016854,0.069,0.066,140,10.906,0.022,10.958,0.021,8.649,0.023,6.657,0.067,13.529,0.108,12.99,0.154,12.501,0.087,1861110601241001548,50.0,63.2,52.9,30.4,46.5,7.58,16.3,1.76,1,0,0.0,0.0,0.0,0.0,0000,5,1111,-47,13,13,11,11,11,11,10,864615002,0.52
NGC4383,186.3561,16.4699,1.0,Sa,1708,1.22,1.6595870167669808,12.67,63.4,,2.23E-4,186.356284,16.470037,J122525.50+162812.1,186.356284,16.470037,0.05,0.046,119,9.782,0.022,9.53,0.02,5.446,0.014,2.408,0.015,11.967,0.035,11.365,0.053,11.221,0.049,1870116601241007762,49.2,53.7,53.7,27.1,77.1,32.7,70.6,26.4,1,0,0.0,0.0,0.0,0.0,0000,5,5259,11,14,14,14,14,14,14,14,846845439,0.252
NGC4385,186.42825,0.5726,-0.5,S0-a,2139,1.33,2.1379623007676005,13.18,66.5,,1.35E-4,186.428368,0.572666,J122542.80+003421.5,186.428368,0.572666,0.057,0.054,95,10.716,0.023,10.466,0.021,5.568,0.014,2.337,0.024,13.187,0.087,12.464,0.103,11.902,0.061,1860100001241028614,47.6,33.5,51.0,12.8,75.7,4.01,45.7,0.553,1,0,0.0,0.0,0.0,0.0,0000,5,1001,22,12,12,12,12,12,12,12,855555023,0.123
NGC4387,186.42375,12.81048,-4.9,E,538,1.2,1.58489336647576,12.97,90.0,,1.64E-4,186.42366,12.810618,J122541.67+124838.2,186.42366,12.810618,0.073,0.068,155,9.947,0.022,9.998,0.02,9.722,0.043,9.021,0.503,11.728,0.036,11.649,0.097,11.31,0.06,1869112101241036446,49.7,59.2,55.6,34.0,25.2,1.72,2.2,1.03,1,0,0.0,0.0,0.0,0.0,0000,5,111n,-23,12,12,12,12,11,11,1,846855235,0.581
NGC4388,186.44505,12.66202,2.8,Sb,2516,1.73,5.370318199557904,11.90,90.0,,2.05E-4,186.444952,12.662201,J122546.78+123943.9,186.444952,12.662201,0.05,0.047,103,9.116,0.022,8.105,0.019,4.612,0.015,1.509,0.015,12.482,0.066,11.73,0.091,11.066,0.051,1869112101241036441,49.4,33.3,57.8,7.79,74.8,6.02,71.9,2.31,1,0,0.0,0.0,0.0,0.0,0000,5,1010,-23,11,11,11,11,11,11,11,846854999,0.741
NGC4390,186.4611,10.45895,5.0,SABc,1101,1.18,1.5135610656352623,13.32,43.3,,1.46E-4,186.461236,10.459008,J122550.69+102732.4,186.461236,10.459008,0.093,0.092,95,12.637,0.027,12.72,0.028,9.924,0.045,6.774,0.072,15.729,0.211,15.155,0.284,13.701,,1861110601241017294,40.9,40.5,38.3,9.55,24.2,2.34,15.1,1.87,1,0,0.0,0.0,0.0,0.002,0000,5,1110,-47,16,16,14,14,14,14,13,864629778,0.327
NGC4396,186.49575,15.67109,6.9,Scd,-113,1.47,2.9512094210846427,13.09,71.6,,3.26E-4,186.495815,15.67141,J122558.99+154017.0,186.495815,15.67141,0.076,0.073,82,12.337,0.026,12.281,0.025,8.393,0.02,6.16,0.048,15.627,0.151,13.98,,13.754,,1862115101241031410,42.1,55.4,43.5,16.0,55.2,10.0,22.7,2.74,1,0,0.0,0.0,0.0,0.0,0000,5,6001,111,14,14,14,14,14,14,13,846860183,2.738
NGC4402,186.5316,13.11312,3.3,Sb,235,1.55,3.54813350276553,12.95,81.5,,5.32E-4,186.53149,13.112599,J122607.55+130645.3,186.53149,13.112599,0.055,0.051,101,10.32,0.023,10.07,0.022,6.142,0.014,4.163,0.021,13.939,0.099,13.573,0.2,11.895,,1862113601241001856,46.4,116.0,50.2,56.9,80.0,64.4,52.4,28.1,1,0,0.0,0.0,0.0,0.0,0000,5,9461,111,13,13,13,13,13,13,13,846873365,0.623
NGC4406,186.549,12.94611,-4.8,E,-283,2.06,11.4815347022194,9.83,66.2,,1.23E-4,186.54899,12.946233,J122611.75+125646.4,186.54899,12.946233,0.064,0.063,123,8.493,0.023,8.501,0.02,7.96,0.017,6.908,0.069,10.725,0.056,10.447,0.103,10.218,0.09,1862113601241001853,47.0,68.6,54.5,54.4,63.2,10.5,15.8,1.51,1,0,0.0,0.0,0.0,0.0,0000,5,9510,111,16,16,16,16,16,16,14,846873674,0.184
NGC4409,186.7437,2.4945,4.7,SBc,1642,1.26,1.819700818650877,12.87,63.3,,1.14E-4,186.743589,2.494474,J122658.46+022940.1,186.743589,2.494474,0.065,0.064,94,11.152,0.024,11.096,0.021,7.308,0.017,5.273,0.043,14.762,0.2,14.34,0.281,13.869,0.214,1860103001241000008,44.4,83.4,50.6,39.9,65.1,36.5,25.3,6.84,2,0,0.0,0.0,0.0,0.0,0000,5,9162,-118,14,14,13,13,12,12,11,855574120,0.682
NGC4411A,186.62505000000002,8.87167,5.4,Sc,1280,1.21,1.6218102398133032,13.54,54.4,,0.001298,186.624133,8.872599,J122629.79+085221.3,186.624133,8.872599,0.13,0.125,4,13.865,0.028,13.804,0.044,10.481,0.074,8.273,0.205,,,,,,,1868109001241010081,38.5,12.3,24.8,2.08,14.6,1.32,5.3,1.11,2,0,0.0,0.0,0.0,0.0,0000,1,100n,-94,23,23,18,23,11,13,0,0,
NGC4412,186.65055,3.96474,3.1,SBb,2294,1.18,1.5135610656352623,13.16,26.8,,1.49E-4,186.650403,3.964716,J122636.09+035752.9,186.650403,3.964716,0.059,0.056,116,11.339,0.022,11.21,0.023,6.865,0.017,3.641,0.021,14.013,0.088,13.306,0.108,12.787,0.072,1868104501241002831,48.8,45.0,48.1,12.7,63.2,6.46,51.4,4.22,1,0,0.0,0.0,0.0,0.0,0000,5,01nn,38,13,13,12,12,6,6,6,855571449,0.249
NGC4413,186.6342,12.6106,2.0,Sab,94,1.32,2.089296383189619,12.87,48.2,,6.85E-4,186.634466,12.611234,J122632.27+123640.4,186.634466,12.611234,0.061,0.06,118,11.279,0.024,11.204,0.022,7.472,0.017,5.081,0.026,13.692,,12.908,,13.644,0.099,1869112101241034767,45.6,62.2,49.6,23.6,65.5,10.6,42.2,2.81,1,0,0.0,0.0,0.0,0.0,0000,5,5211,-23,12,12,12,12,11,11,12,846874288,1.745
NGC4415,186.6687,8.43567,-0.8,S0-a,908,1.11,1.288249594126457,13.31,31.2,,1.25E-4,186.66875,8.435785,J122640.49+082608.8,186.66875,8.435785,0.084,0.081,143,11.7,0.024,11.909,0.024,11.561,0.196,9.158,,14.563,0.158,14.031,0.22,13.666,0.137,1868109001241004809,46.1,56.8,45.0,13.0,5.5,1.03,-0.6,1.09,1,0,0.0,0.0,0.0,0.0,0000,5,81nn,-94,26,26,26,26,3,12,0,864639002,0.088
NGC4416,186.69465,7.91881,5.9,Sc,1390,1.2,1.58489336647576,13.12,29.4,,2.57E-4,186.694801,7.919019,J122646.75+075508.4,186.694801,7.919019,0.072,0.071,101,12.02,0.024,11.975,0.025,7.948,0.021,5.812,0.043,15.472,0.206,13.393,,14.384,0.193,1861107501241029116,45.3,61.4,43.9,15.8,52.8,14.8,25.1,3.18,1,0,0.0,0.0,0.0,0.0,0000,5,2100,-118,22,22,14,14,9,9,11,864639855,1.459
NGC4417,186.71085,9.58424,-1.9,S0,835,1.49,3.0902955003738914,12.08,90.0,,1.77E-4,186.711013,9.584313,J122650.64+093503.5,186.711013,9.584313,0.068,0.067,121,9.102,0.023,9.113,0.02,8.764,0.023,7.516,0.124,11.623,0.101,10.868,0.115,10.356,0.058,1868109001241037274,46.3,50.9,55.5,35.9,47.2,3.24,8.7,0.998,1,0,0.0,0.0,0.0,0.0,0000,5,9900,-94,23,23,23,23,15,15,6,864649215,0.448
NGC4419,186.73545000000001,15.04726,1.2,Sa,-218,1.59,3.8904517489515147,11.99,84.5,,2.84E-4,186.735241,15.04746,J122656.45+150250.8,186.735241,15.04746,0.052,0.047,134,8.798,0.023,8.617,0.02,5.057,0.015,2.216,0.016,11.059,0.041,9.924,0.031,9.912,0.038,1862115101241016744,48.0,61.6,54.8,38.7,74.0,9.78,67.1,2.43,1,0,0.0,0.0,0.0,0.0,0000,5,8271,111,15,15,15,15,15,15,15,464545089,0.311
NGC4423,186.78734999999998,5.88011,7.8,Sd,1122,1.31,2.0417376756604138,14.10,90.0,,8.7E-5,186.787405,5.880177,J122708.97+055248.6,186.787405,5.880177,0.122,0.103,69,13.103,0.025,13.135,0.037,10.113,0.075,7.3,0.154,15.981,0.229,14.042,,14.064,,1868106001241007748,43.1,18.0,29.3,2.48,14.5,1.4,7.0,0.799,2,0,0.0,0.0,0.0,0.0,0000,5,211n,-107,20,20,14,14,7,9,1,855589210,0.749
NGC4424,186.79905,9.42018,1.0,SBa,442,1.48,3.019951853033241,12.38,65.0,,0.001096,186.798068,9.420692,J122711.53+092514.4,186.798068,9.420692,0.052,0.05,122,10.863,0.021,10.674,0.02,6.632,0.013,3.855,0.02,14.01,0.148,13.528,0.225,12.783,0.105,1868109001241027392,52.5,138.0,53.2,65.3,82.6,85.4,54.0,31.1,1,0,0.0,0.0,0.0,0.0,0000,5,9319,-94,22,22,22,22,15,15,16,864648947,0.812
NGC4425,186.80564999999999,12.73482,-0.6,S0-a,1892,1.49,3.0902955003738914,12.98,84.5,,1.2E-5,186.805644,12.734831,J122713.35+124405.3,186.805644,12.734831,0.075,0.07,170,10.338,0.021,10.403,0.02,9.869,0.047,8.814,,12.413,0.043,11.566,0.042,11.558,0.047,1869112101241033354,52.5,83.0,53.0,36.0,23.0,1.51,0.8,1.21,1,0,0.0,0.0,0.0,0.0,0000,5,241n,-23,12,12,12,12,11,11,0,464552040,0.117
NGC4429,186.8607,11.10753,-0.7,S0-a,1107,1.72,5.248074948227709,11.05,77.0,,1.71E-4,186.860584,11.107657,J122726.54+110627.5,186.860584,11.107657,0.059,0.056,101,8.611,0.024,8.588,0.021,6.539,0.013,5.125,0.032,11.717,0.128,10.829,0.157,10.045,0.065,1861110601241030170,45.3,66.6,51.2,46.5,81.2,31.0,34.4,2.4,1,0,0.0,0.0,0.0,0.0,0000,5,9220,-47,14,14,12,12,12,12,14,864655333,0.559
NGC4430,186.85995,6.26282,3.4,Sb,1447,1.31,2.0417376756604138,12.77,43.9,,1.44E-4,186.860095,6.262826,J122726.42+061546.1,186.860095,6.262826,0.423,0.376,166,13.085,0.185,12.97,0.156,10.105,,6.963,,15.013,0.162,14.515,0.161,12.985,,1868106001241019642,5.9,0.135,6.9,0.302,1.1,0.265,1.0,2.26,4,1,0.0,0.0,0.0,0.0,0000,4,nnnn,-107,0,22,1,15,0,8,0,864663686,0.644
NGC4434,186.90285,8.15431,-4.8,E,1070,1.15,1.4125374670774022,13.01,20.7,,1.26E-4,186.902902,8.154425,J122736.69+080915.9,186.902902,8.154425,0.037,0.035,161,9.822,0.022,9.921,0.02,9.566,0.047,8.122,0.222,12.269,0.096,11.32,0.071,11.115,0.077,1876107501241034485,48.8,37.3,55.1,20.6,23.0,1.21,4.9,1.2,1,0,0.0,0.0,0.0,0.0,0000,5,621n,-83,23,23,23,23,11,11,2,864660320,0.415
NGC4435,186.9186,13.0789,-2.0,S0,803,1.48,3.019951853033241,11.51,53.5,,2.59E-4,186.918832,13.079027,J122740.51+130444.4,186.918832,13.079027,0.058,0.056,118,8.627,0.023,8.593,0.02,6.737,0.016,4.744,0.026,10.621,0.036,9.593,0.027,9.961,0.059,1862113601241000002,46.4,52.3,55.7,37.3,68.2,3.85,41.7,1.21,1,0,0.0,0.0,0.0,0.012,0000,5,6210,111,14,14,14,14,14,14,14,464569260,0.605
NGC4436,186.92205,12.31602,-1.8,S0,1115,1.22,1.6595870167669808,13.98,82.7,,5.17E-4,186.922494,12.315738,J122741.39+121856.6,186.922494,12.315738,0.105,0.089,149,12.173,0.025,12.217,0.028,11.506,0.195,8.782,,14.043,0.066,13.291,0.081,13.415,0.095,1869112101241025729,43.5,27.5,38.2,6.48,5.6,1.11,-0.1,0.939,2,0,0.0,0.0,0.0,0.0,0000,5,01nn,-23,13,13,13,13,1,12,0,464570466,2.594
NGC4437,188.18955,0.11462,6.0,Sc,1128,1.96,9.120109194638907,11.10,90.0,,7.55E-4,188.189771,0.115342,J123245.54+000655.2,188.189771,0.115342,0.061,0.06,87,10.693,0.023,10.587,0.021,7.212,0.016,5.148,0.034,14.681,0.151,13.863,0.215,13.23,0.125,1875100001241013681,47.9,110.0,52.3,51.2,70.0,32.2,31.6,7.73,1,0,0.0,0.0,0.0,0.0,0000,5,1136,0,13,13,13,13,13,13,13,265118664,0.529
NGC4438,186.94035,13.00884,0.6,Sa,92,1.96,9.120109194638907,10.93,73.2,,1.3E-5,186.940356,13.008852,J122745.68+130031.8,186.940356,13.008852,0.052,0.051,123,8.438,0.021,8.323,0.019,6.028,0.013,4.309,0.023,10.795,0.039,9.643,0.028,9.789,0.05,1862113601241000001,51.7,77.6,56.4,51.4,80.5,23.6,47.1,3.69,1,0,0.0,0.0,0.0,0.0,0000,5,9140,111,13,13,13,13,13,13,13,464569391,0.629
NGC4440,186.97320000000002,12.29322,1.1,Sa,725,1.25,1.778279410038923,12.84,38.0,,9.4E-5,186.973217,12.293313,J122753.57+121735.9,186.973217,12.293313,0.073,0.068,173,9.892,0.023,9.963,0.019,9.499,0.038,8.486,0.29,11.896,0.044,10.987,0.041,11.171,0.061,1869112101241025718,47.1,51.5,57.0,34.0,28.4,1.73,3.7,1.01,1,0,0.0,0.0,0.0,0.0,0000,5,100n,-23,14,14,14,14,12,12,1,464570502,0.386
NGC4442,187.01625,9.80368,-1.9,S0,532,1.64,4.36515817861883,11.39,90.0,,9.9E-5,187.01634,9.803723,J122803.92+094813.4,187.01634,9.803723,0.064,0.061,130,8.467,0.022,8.498,0.02,7.993,0.019,6.896,0.072,11.211,0.115,10.44,0.143,9.804,0.073,1868109001241035586,49.3,71.5,54.2,46.2,58.0,7.99,15.0,1.39,1,0,0.0,0.0,0.0,0.0,0000,5,9110,-94,24,24,24,24,13,13,10,864670572,0.656
NGC4445,187.0665,9.43629,2.1,Sab,343,1.4,2.511886293612277,13.59,90.0,,1.78E-4,187.066541,9.436463,J122815.96+092611.2,187.066541,9.436463,0.073,0.072,147,11.363,0.023,11.479,0.023,8.833,0.024,6.753,0.059,14.777,0.207,12.646,,12.444,,1868109001241029108,47.9,74.8,47.2,25.0,45.7,5.63,18.5,1.56,1,0,0.0,0.0,0.0,0.0,0000,5,1212,-94,25,25,25,25,16,16,15,864669939,0.599
NGC4449,187.0461,44.09324,9.8,IB,204,1.67,4.677350950673763,9.50,63.5,,5.63E-4,187.046486,44.09373,J122811.15+440537.4,187.046486,44.09373,0.057,0.053,89,10.102,0.024,9.922,0.02,6.192,0.014,2.578,0.022,12.442,0.036,11.633,0.04,11.547,0.039,1872143901241025102,44.9,74.5,53.5,43.2,76.0,49.6,48.5,40.7,1,0,0.0,0.0,0.0,0.0,0000,5,9299,0,13,13,13,13,13,13,13,614030543,0.422
NGC4450,187.12335000000002,17.08499,2.4,Sab,1955,1.74,5.495408859250822,10.84,48.8,,6.8E-5,187.123362,17.085057,J122829.60+170506.2,187.123362,17.085057,0.061,0.061,95,9.105,0.024,9.074,0.021,7.484,0.017,5.574,0.031,11.271,0.041,10.518,0.047,10.456,0.053,1870116601241025649,45.7,53.1,52.7,34.5,65.6,7.61,34.9,1.58,1,0,0.0,0.0,0.0,0.0,0000,5,9200,11,15,15,14,14,15,15,15,464579971,0.297
NGC4451,187.16910000000001,9.25882,2.4,Sab,861,1.13,1.348962867780606,13.32,53.6,,6.24E-4,187.168627,9.259234,J122840.47+091533.2,187.168627,9.259234,0.059,0.056,112,11.01,0.022,10.928,0.022,7.06,0.015,4.936,0.026,13.106,,12.519,,13.537,0.183,1868109001241029103,48.4,104.0,50.3,42.3,74.4,46.5,41.5,12.2,1,0,0.0,0.0,0.0,0.0,0000,5,8491,-94,23,23,23,23,13,13,15,864679396,1.124
NGC4452,187.18035,11.75505,-1.9,S0,162,1.53,3.388441338170015,12.87,90.0,,1.2E-4,187.180457,11.755108,J122843.30+114518.3,187.180457,11.755108,0.075,0.073,149,10.555,0.023,10.664,0.02,10.271,0.058,9.006,0.45,13.27,0.134,12.566,0.113,12.276,0.104,1869112101241012140,48.1,105.0,53.1,41.2,18.9,1.25,2.4,0.977,1,0,0.0,0.0,0.0,0.0,0000,5,921n,-23,15,15,15,15,14,14,1,864675208,0.339
NGC4454,187.2114,-1.93912,0.0,S0-a,2330,1.34,2.1877617920945056,12.85,25.4,,8.1E-5,187.211481,-1.939116,J122850.75-015620.8,187.211481,-1.939116,0.07,0.065,170,10.58,0.021,10.63,0.02,9.218,0.031,7.425,0.134,12.968,0.083,12.318,0.103,11.801,0.064,1875001601241008711,52.8,46.8,55.6,22.3,34.8,1.76,8.1,1.18,1,0,0.0,0.0,0.0,0.0,0000,5,611n,0,12,12,12,12,12,12,2,265037144,0.255
NGC4457,187.2459,3.57058,0.4,S0-a,889,1.45,2.818383240711117,11.71,34.6,,7.4E-5,187.24597,3.570603,J122859.03+033414.1,187.24597,3.570603,0.055,0.052,97,8.654,0.023,8.612,0.02,5.991,0.013,3.721,0.023,11.122,0.1,10.467,0.108,9.741,0.058,1875103001241017069,46.3,36.2,55.4,25.7,81.4,25.4,48.2,3.37,1,0,0.0,0.0,0.0,0.0,0000,5,9813,98,12,12,12,12,11,11,12,855629132,0.299
NGC4458,187.23975,13.24183,-4.8,E,676,1.2,1.58489336647576,12.88,28.9,,1.96E-4,187.23989,13.241971,J122857.57+131431.0,187.23989,13.241971,0.074,0.066,161,10.366,0.021,10.43,0.019,10.002,0.053,8.44,0.306,12.047,0.032,11.202,0.028,11.434,0.049,1877113601241007595,50.8,48.6,56.7,25.4,20.4,1.16,3.6,0.965,1,0,0.0,0.0,0.0,0.007,0000,5,001n,-123,12,12,12,12,11,11,0,464589264,0.472
NGC4459,187.2501,13.97856,-1.4,S0-a,1186,1.62,4.168693880473867,11.46,46.6,,1.17E-4,187.250219,13.978581,J122900.05+135842.8,187.250219,13.978581,0.054,0.053,178,8.566,0.02,8.517,0.02,6.401,0.013,4.879,0.032,10.423,0.029,9.584,0.028,9.543,0.039,1877113601241023506,53.2,62.5,55.0,41.3,82.6,24.4,33.6,1.63,2,0,0.0,0.0,0.0,0.0,hh00,5,9120,-123,12,12,12,12,11,11,12,464588051,0.477
NGC4460,187.1898,44.86426,-0.9,S0-a,487,1.59,3.8904517489515147,12.38,90.0,,7.2E-5,187.18988,44.864305,J122845.57+445151.4,187.18988,44.864305,0.053,0.051,99,10.666,0.022,10.482,0.02,6.956,0.014,4.008,0.021,13.726,0.097,12.959,0.078,12.686,0.058,1874145401241004987,49.0,92.3,55.3,49.9,75.7,41.7,52.3,40.6,1,0,0.0,0.0,0.0,0.0,0000,5,1279,0,16,16,16,16,15,15,16,688972244,0.201
NGC4461,187.26239999999999,13.18378,-0.8,S0-a,1925,1.56,3.6307800693276415,11.88,90.0,,2.41E-4,187.262635,13.183856,J122903.03+131101.8,187.262635,13.183856,0.066,0.063,139,9.122,0.022,9.147,0.019,8.673,0.024,7.448,0.117,10.922,0.031,10.114,0.032,10.223,0.049,1877113601241007593,50.2,50.3,56.1,34.9,44.7,2.81,9.3,1.04,1,0,0.0,0.0,0.0,0.0,0000,5,6311,-123,13,13,13,13,12,12,5,464589369,0.45
NGC4464,187.33875,8.15656,-0.9,S0-a,1266,1.01,1.0232929698100972,13.57,47.1,,1.49E-4,187.338831,8.156685,J122921.31+080924.0,187.338831,8.156685,0.077,0.074,157,10.006,0.023,10.075,0.021,9.686,0.043,8.615,0.306,12.162,0.084,11.514,0.109,10.945,0.055,1876107501241032754,46.3,33.5,51.8,17.1,25.5,1.23,3.6,1.07,1,0,0.0,0.0,0.0,0.0,0000,5,711n,-83,24,24,23,23,16,16,2,871777893,0.254
NGC4468,187.37865000000002,14.04909,-2.7,E-S0,889,1.19,1.5488168229767911,13.83,63.2,,1.4E-4,187.378789,14.049129,J122930.90+140256.8,187.378789,14.049129,0.08,0.075,157,11.407,0.022,11.488,0.021,10.806,0.094,8.643,,13.35,0.043,12.558,0.049,12.711,0.069,1877113601241025436,48.7,46.5,50.9,14.7,11.5,1.14,1.3,0.922,1,0,0.0,0.0,0.0,0.0,0000,5,011n,-123,14,14,14,14,9,13,0,464595444,0.214
NGC4469,187.3668,8.74994,0.2,S0-a,586,1.46,2.8840317564502844,12.37,85.5,,3.15E-4,187.366884,8.750244,J122928.05+084500.8,187.366884,8.750244,0.06,0.058,180,9.779,0.022,9.705,0.019,7.306,0.017,5.317,0.03,12.719,0.113,11.961,0.145,11.202,0.071,1868109001241013037,48.7,66.3,56.7,39.5,63.3,18.9,36.6,1.83,1,0,0.0,0.0,0.0,0.0,0000,5,9120,-94,27,27,27,27,9,9,14,871778826,0.415
NGC4470,187.40745,7.8239,1.4,Sa,2337,1.11,1.288249594126457,13.03,51.0,,5.79E-4,187.407746,7.824399,J122937.85+074927.8,187.407746,7.824399,0.032,0.032,91,11.523,0.024,11.491,0.022,7.559,0.017,5.232,0.031,15.231,0.208,14.551,0.287,14.12,0.179,1876107501241023022,45.0,90.2,48.9,29.3,62.6,27.2,34.7,8.4,1,0,0.0,0.0,0.0,0.0,0000,5,9560,-83,22,22,22,22,14,14,17,871777369,1.475
NGC4472,187.44495,8.00039,-4.8,E,979,2.01,10.232929698100973,9.27,50.2,,1.33E-4,187.445052,8.000476,J122946.81+080001.7,187.445052,8.000476,0.03,0.029,162,7.88,0.021,7.895,0.02,7.275,0.016,6.067,0.044,11.237,0.169,10.644,0.199,9.648,0.088,1876107501241023016,50.7,98.8,55.3,71.2,69.9,24.7,24.6,2.21,1,0,0.0,0.0,0.0,0.0,0000,5,9920,-83,21,21,21,21,13,13,14,871791110,0.887
NGC4473,187.45364999999998,13.4294,-4.7,E,2250,1.63,4.265795141179281,11.07,90.0,,1.26E-4,187.453779,13.429412,J122948.90+132545.8,187.453779,13.429412,0.065,0.062,156,8.363,0.022,8.422,0.019,7.873,0.019,6.785,0.071,10.106,0.028,9.242,0.024,9.334,0.036,1877113601241009297,50.2,64.7,55.8,46.5,58.3,8.83,15.3,1.33,1,0,0.0,0.0,0.0,0.0,0000,5,9111,-123,13,13,13,13,12,12,12,464610031,0.702
NGC4474,187.47315,14.06862,-1.9,S0,1610,1.37,2.344228841058573,12.49,56.9,,2.2E-5,187.473128,14.068614,J122953.55+140407.0,187.473128,14.068614,0.073,0.067,167,9.67,0.022,9.705,0.02,9.222,0.032,8.265,0.259,11.492,0.034,10.533,0.028,10.679,0.039,1877113601241025427,48.9,48.2,55.6,28.8,33.6,1.84,4.2,1.01,2,0,0.0,0.0,0.0,0.0,0000,5,900n,-123,13,13,13,13,12,12,0,464608929,0.266
NGC4476,187.49625,12.34863,-3.0,E-S0,1959,1.23,1.698243727045763,13.16,60.7,,1.51E-4,187.496249,12.348781,J122959.09+122055.6,187.496249,12.348781,0.061,0.06,122,10.069,0.023,10.067,0.019,7.704,0.018,6.102,0.043,11.919,0.031,11.346,,11.053,0.038,1869112101241028683,46.9,57.6,56.6,34.0,61.8,12.0,25.1,1.35,1,0,0.0,0.0,0.0,0.0,0000,5,7410,-23,17,17,17,17,14,14,16,464611880,0.604
NGC4477,187.50915,13.6364,-1.9,S0,1358,1.57,3.7153527396948913,11.32,33.7,,2.07E-4,187.50927,13.636571,J123002.22+133811.6,187.50927,13.636571,0.064,0.063,23,8.851,0.023,8.911,0.02,7.985,0.019,6.582,0.057,10.691,0.029,9.901,0.029,10.024,0.041,1877113601241020223,47.7,65.5,53.9,45.9,58.2,6.19,19.2,0.959,1,0,0.0,0.0,0.0,0.0,0000,5,9500,-123,14,14,14,14,12,12,14,464609677,0.518
NGC4478,187.5738,12.3271,-4.8,E,1390,1.24,1.7378008669100269,12.16,51.4,,0.001956,187.572639,12.328693,J123017.43+121943.2,187.572639,12.328693,0.071,0.068,112,9.21,0.024,9.232,0.02,8.939,0.027,7.539,0.117,11.51,0.066,11.408,0.147,10.934,0.089,1869112101241028678,45.0,61.9,54.7,47.3,39.7,3.26,9.3,1.18,1,0,0.0,0.0,0.0,0.0,0000,5,9800,-23,15,15,15,15,12,12,5,846876609,0.907
NGC4479,187.5765,13.57757,-1.9,S0,848,1.16,1.4454396596536672,13.51,33.1,,2.57E-4,187.576664,13.577771,J123018.39+133439.9,187.576664,13.577771,0.075,0.072,150,10.917,0.022,11.046,0.02,10.776,0.089,8.906,,13.586,0.108,12.926,0.107,12.683,0.095,1877113601241020229,49.7,62.2,53.2,25.7,12.2,1.19,0.6,0.918,1,0,0.0,0.0,0.0,0.0,0000,5,900n,-123,15,15,15,15,8,14,0,846878968,0.946
NGC4480,187.6116,4.24642,5.1,SABc,2431,1.28,1.9054605924362857,13.12,61.2,,1.27E-4,187.611707,4.246489,J123026.80+041447.3,187.611707,4.246489,0.07,0.069,37,11.382,0.023,11.444,0.023,8.567,0.023,6.044,0.046,14.168,0.112,13.601,0.154,13.139,0.096,1883104501241004804,47.5,62.6,48.2,22.7,46.7,9.39,23.5,3.81,1,0,0.0,0.0,0.0,0.0,h0h0,5,3100,98,13,13,13,13,13,13,13,863881788,0.436
NGC4482,187.54319999999998,10.77951,-4.8,E,1836,1.17,1.4791082420082973,13.71,90.0,,3.87E-4,187.542824,10.779627,J123010.27+104646.6,187.542824,10.779627,0.054,0.046,158,12.202,0.025,12.286,0.028,11.699,0.233,8.677,,14.714,0.151,14.112,0.202,13.864,0.162,1876110601241026783,42.9,32.4,38.9,6.43,4.7,1.15,0.5,1.07,2,0,0.0,0.0,0.0,0.0,0000,5,20nn,97,25,25,25,25,0,13,0,871786686,0.834
NGC4483,187.66935,9.01565,-1.3,S0-a,883,1.22,1.6595870167669808,13.15,72.1,,6.7E-5,187.669387,9.015706,J123040.65+090056.5,187.669387,9.015706,0.072,0.07,144,10.206,0.023,10.317,0.02,9.856,0.056,8.403,0.256,12.558,0.085,11.995,0.13,11.417,0.064,1884109001241018695,47.7,51.1,54.3,24.4,19.3,1.27,4.2,1.13,1,0,0.0,0.0,0.0,0.0,0000,5,911n,73,25,25,25,25,11,11,2,871799097,0.281
