# ABS is the dust attenuation cross-section, with R_V=A(V)/E(B-V)=3.1
# This is the attenuation law described in the paper
# To Apply multiply the galaxy spectrum by exp(-Dust_column*ABS)
# The Dust Column is an integrated depth that gives a certain A(V) :
# where A(V)=-2.5*log10(exp(-dust_col*abs[V_band]))
# as an example, the dust_col for 5 A(V)s has been included
#  
# A(V)        0.0      0.5      1.0      2.0      4.0     10.0
# dust_col   0.00000  2.02923  4.05845  8.11690 16.23380 40.58450
# 
# Notes added by Sébastien Viaene, Dec 27, 2015:
# In practice, compute the Av attenuation using equation 4 of Kreckel et al. 2013
# This assumes a screen geometry, which is not completely unrealistic for star forming regions.
# Av,screen = 0.67* Dust_column / 1e5 Msun/kpc2 with Dust_column in Msun/kpc2
#
# Then, to compute the attenuation at any other wavelength:
# A_lambda = Abs_lambda / Abs_V * Av
 
# wavel. (um)   Abs()
 1.88797E+00  3.82406E-02
 1.88242E+00  3.84540E-02
 1.87330E+00  3.86221E-02
 1.86324E+00  3.88965E-02
 1.85150E+00  3.92029E-02
 1.83433E+00  3.95668E-02
 1.81823E+00  4.01101E-02
 1.80883E+00  4.06343E-02
 1.79934E+00  4.09462E-02
 1.78708E+00  4.12657E-02
 1.76667E+00  4.16852E-02
 1.75177E+00  4.23919E-02
 1.74623E+00  4.29209E-02
 1.74208E+00  4.31202E-02
 1.73620E+00  4.32705E-02
 1.72352E+00  4.34852E-02
 1.71099E+00  4.39556E-02
 1.69570E+00  4.44309E-02
 1.68064E+00  4.50235E-02
 1.67229E+00  4.56235E-02
 1.66399E+00  4.59553E-02
 1.65395E+00  4.62862E-02
 1.64399E+00  4.66935E-02
 1.63192E+00  4.71040E-02
 1.62018E+00  4.76111E-02
 1.61074E+00  4.81155E-02
 1.60494E+00  4.85284E-02
 1.59899E+00  4.87855E-02
 1.59351E+00  4.90518E-02
 1.58804E+00  4.93004E-02
 1.57371E+00  4.95492E-02
 1.55959E+00  5.01927E-02
 1.55248E+00  5.08384E-02
 1.54374E+00  5.11700E-02
 1.53299E+00  5.15824E-02
 1.50400E+00  5.20998E-02
 1.48015E+00  5.35367E-02
 1.47587E+00  5.47909E-02
 1.46526E+00  5.50183E-02
 1.45848E+00  5.55914E-02
 1.45110E+00  5.59644E-02
 1.43999E+00  5.63749E-02
 1.43529E+00  5.70063E-02
 1.43059E+00  5.72783E-02
 1.41254E+00  5.75511E-02
 1.39489E+00  5.86160E-02
 1.38336E+00  5.96676E-02
 1.37199E+00  6.03684E-02
 1.36598E+00  6.10781E-02
 1.35999E+00  6.14605E-02
 1.34382E+00  6.18448E-02
 1.32804E+00  6.29050E-02
 1.32095E+00  6.39690E-02
 1.31397E+00  6.44454E-02
 1.30700E+00  6.49211E-02
 1.30248E+00  6.54034E-02
 1.29874E+00  6.57197E-02
 1.29326E+00  6.59845E-02
 1.28788E+00  6.63756E-02
 1.28181E+00  6.67646E-02
 1.27588E+00  6.72091E-02
 1.27000E+00  6.76489E-02
 1.26347E+00  6.80910E-02
 1.25740E+00  6.85886E-02
 1.25224E+00  6.90541E-02
 1.24736E+00  6.94476E-02
 1.24228E+00  6.98239E-02
 1.22377E+00  7.02196E-02
 1.20500E+00  7.16952E-02
 1.19796E+00  7.32762E-02
 1.19099E+00  7.38839E-02
 1.18371E+00  7.44958E-02
 1.17650E+00  7.51238E-02
 1.17188E+00  7.57471E-02
 1.16760E+00  7.61515E-02
 1.16233E+00  7.65309E-02
 1.14347E+00  7.70031E-02
 1.12490E+00  7.87342E-02
 1.11926E+00  8.05425E-02
 1.10950E+00  8.10975E-02
 1.10000E+00  8.20622E-02
 1.09690E+00  8.30290E-02
 1.09381E+00  8.33495E-02
 1.08853E+00  8.36710E-02
 1.08365E+00  8.42267E-02
 1.07917E+00  8.47481E-02
 1.07456E+00  8.52333E-02
 1.06981E+00  8.57372E-02
 1.05581E+00  8.62641E-02
 1.04193E+00  8.78315E-02
 1.03736E+00  8.94230E-02
 1.03320E+00  8.99567E-02
 1.02870E+00  9.04499E-02
 1.02048E+00  9.09896E-02
 1.01237E+00  9.19945E-02
 1.00864E+00  9.30132E-02
 1.00494E+00  9.34895E-02
