name,Planck_350,Planck_350_err,Planck_350_flag,Planck_550,Planck_550_err,Planck_550_flag,Planck_850,Planck_850_err,Planck_850_flag,Planck_1380,Planck_1380_err,Planck_1380_flag,Planck_2100,Planck_2100_err,Planck_2100_flag,Planck_3000,Planck_3000_err,Planck_3000_flag,Planck_4260,Planck_4260_err,Planck_4260_flag,Planck_6810,Planck_6810_err,Planck_6810_flag,Planck_10600,Planck_10600_err,Planck_10600_flag
NGC0493,2.1384215,0.330410895962,c,0.56141704,0.15716423,c,,,,,,,,,,,,,,,,,,,,,
NGC0520,,,,,,,0.16380224,0.08664283,,,,,,,,,,,,,,,,,,,
NGC0584,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC0586,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC0613,16.746809,1.12944078201,,4.429162,0.15004939,,1.1186943,0.079324104,,0.23171099,0.08805956,,,,,,,,,,,,,,,,
NGC0625,2.1591766,0.289890031933,,0.7580158,0.18481645,,0.21645671,0.10227108,,,,,,,,,,,,,,,,,,,
NGC0628,24.34151,1.87735295009,e,7.2871995,0.42260593,e,1.9825712,0.15687338,e,0.473149,0.13360193,,,,,,,,,,,,,,,,
NGC0678,0.57915175,0.419849462875,,,,,,,,,,,,,,,,,,,,,,,,,
NGC0720,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC0855,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC0891,67.0633,4.47090076026,e,19.326164,0.5038815,e,4.793628,0.22884148,e,1.208604,0.13504656,e,0.5161843,0.13697098,,0.5476584,0.13572086,,,,,,,,,,
NGC0895,3.629932,0.387347726236,,1.3343832,0.13948408,,0.44870496,0.09367092,,,,,,,,,,,,,,,,,,,
NGC0925,9.759981,0.955544473211,e,4.575268,0.27592695,e,1.5703293,0.1380989,e,0.2894776,0.112510026,e,,,,,,,,,,,,,,,
NGC1052,,,,,,,0.42561796,0.07488144,,0.41068295,0.14524923,,0.36612698,0.32392234,,0.22634715,0.28298247,,0.41064543,0.31852406,,0.36114106,0.48580372,,1.0191715,0.2719052,
NGC1056,1.0341381,1.87292377564,,0.45766303,0.6755014,,,,,,,,,,,,,,,,,,,,,,
NGC1068,48.22655,3.16576950361,,11.96407,0.3516225,,2.9214895,0.1565795,,0.7577083,0.10276532,,0.29134464,0.13298729,,0.5223634,0.14416733,,,,,,,,0.8244266,0.26282695,
NGC1097,26.545017,1.87350977709,e,7.5391326,0.38117316,e,2.1291277,0.120596334,e,0.5082743,0.08275748,e,,,,,,,,,,,,,,,
NGC1140,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC1189,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC1199,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC1222,1.2425362,0.494647937153,,0.37441254,0.28637454,,,,,,,,,,,,,,,,,,,,,,
NGC1266,2.6610708,0.42898205073,c,,,,,,,,,,,,,,,,,,,,,,,,
NGC1316,1.9676441,0.332689929249,C,,,,,,,,,,,,,,,,,,,5.5346484,0.6217656,,10.355165,0.4294152,
NGC1317,2.3269467,0.318634468412,C,,,,,,,,,,,,,,,,,,,,,,,,
NGC1320,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC1336,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC1351,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC1351A,0.7574681,0.163342630623,,,,,,,,,,,,,,,,,,,,,,,,,
NGC1365,42.431133,2.84243329533,e,11.241025,0.31488276,e,2.74355,0.1368007,e,0.5753,0.08128202,e,,,,,,,,,,,,,,,
NGC1369,,,,,,,,,,0.17978989,0.07423164,,0.26440832,0.16465487,,0.34819973,0.19760795,,,,,,,,0.54307574,0.2965655,
NGC1373,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC1374,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC1375,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC1377,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC1379,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC1380A,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC1381,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC1386,2.0294225,0.21612859336,,0.7333977,0.11003858,,,,,,,,,,,,,,,,,,,,,,
NGC1387,1.1432441,0.285140804183,,,,,,,,,,,,,,,,,,,,,,,,,
NGC1389,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC1399,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC1404,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC1412,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC1419,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC1427,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC1427A,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC1428,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC1436,1.6399527,0.282459531414,,0.40017965,0.14815274,,,,,,,,,,,,,,,,,,,,,,
NGC1437B,1.2305794,0.441074286372,,,,,,,,,,,,,,,,,,,,,,,,,
NGC1460,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC1481,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC1482,5.321065,0.448840223832,,1.1938015,0.2513809,,,,,,,,,,,,,,,,,,,,,,
NGC1510,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC1512,5.463367,0.541691855679,c,1.7783024,0.19843177,c,0.55134875,0.09076964,c,,,,,,,,,,,,,,,,,,
NGC1566,15.69361,1.07170947836,e,4.8364897,0.20592514,e,1.4200839,0.10053295,,0.30902016,0.14249924,,,,,,,,,,,,,,,,
NGC1569,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC1617,2.1613276,0.259330177356,,0.69388515,0.11695703,,0.31716254,0.09110596,,,,,,,,,,,,,,,,,,,
NGC1705,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC1800,0.57061183,0.265846125885,,,,,,,,,,,,,,,,,,,,,,,,,
NGC1808,25.367712,1.81791561255,,6.23251,0.30051187,,1.5245216,0.098447286,,0.33167678,0.062499564,,,,,,,,,,,,,,,,
NGC1924,3.1146183,1.76835772515,,,,,,,,,,,,,,,,,,,,,,,,,
NGC2110,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC2146,23.945951,1.70273360948,,5.7186174,0.32538402,,1.5918399,0.1377835,,0.5012893,0.107800566,,,,,,,,,,,,,,0.71102166,0.40096056,
NGC2207,,,,2.7981021,0.19538404,C,0.79781127,0.13743566,C,,,,,,,,,,,,,,,,,,
NGC2273,2.903826,0.740412601774,,1.0999911,0.3860077,,0.2908771,0.11887065,,,,,,,,,,,,,,,,,,,
NGC2403,39.975426,3.95316155862,e,13.92194,1.254065,e,4.219784,0.32802382,e,1.0093236,0.12170218,e,,,,,,,,,,,,,,,
NGC2480,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC2481,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC2549,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC2577,,,,,,,,,,,,,,,,,,,0.9812741,0.20151116,,1.8316206,0.40599948,,1.41311,0.22890925,
NGC2592,2.8978255,3.2482428338,C,,,,,,,,,,,,,,,,,,,,,,,,
NGC2655,2.806725,0.428337871086,,,,,,,,,,,,,,,,,,,,,,,,,
NGC2679,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC2685,1.5695262,1.27652622287,,,,,,,,,,,,,,,,,,,,,,,,,
NGC2764,0.6773782,0.674027312136,,,,,,,,,,,,,,,,,,,,,,,,,
NGC2768,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC2778,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC2787,5.444803,3.18125674416,C,,,,,,,,,,,,,,,,,,,,,,,,
NGC2798,,,,0.48777667,0.30439827,C,,,,,,,,,,,,,,,,,,,,,
NGC2799,2.9115107,0.585915285448,C,,,,,,,,,,,,,,,,,,,,,,,,
NGC2841,15.089205,1.09766514497,e,4.571289,0.24549939,e,1.2214743,0.10532291,e,0.19942969,0.091189854,e,,,,,,,,,,,,,,,
NGC2853,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC2859,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC2907,0.869071,0.959003805845,,,,,,,,,,,,,,,,,,,,,,,,,
NGC2915,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC2950,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC2974,0.5212103,0.392122219729,,,,,,,,,,,,,,,,,,,,,,,,,
NGC2976,12.913065,2.24521665734,,4.0892253,1.0534822,,1.1040243,0.22059783,,0.23940758,0.059212893,,,,,,,,,,,,,,,,
NGC2992,3.5392115,0.580696766809,C,1.0504608,0.22475891,C,,,,,,,,,,,,,,,,,,,,,
NGC2993,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC3031,29.576017,5.00902786136,e,9.635609,2.2167978,e,2.6281667,0.4930505,e,,,,0.22359464,0.08949598,e,,,,,,,,,,,,
NGC3034,151.40965,9.87890389928,e,35.135956,0.64812094,e,9.004298,0.1852601,e,2.9299,0.12765282,e,1.0300647,0.18991096,,1.1483297,0.23986831,,0.8236629,0.23595624,,1.0484053,0.42736846,,1.3308622,0.24472073,
NGC3049,1.8875259,0.469047928503,,1.0134532,0.23045284,,,,,,,,,,,,,,,,,,,,,,
NGC3073,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC3077,6.067611,1.00255844642,c,1.9233199,0.32110286,c,,,,,,,,,,,,,,,,,,,,,
NGC3079,21.302996,1.42204030645,e,6.064881,0.26893282,,1.5173603,0.10089417,,0.21663609,0.073029526,,,,,,,,,,,,,,,,
NGC3081,,,,0.51236534,0.17600073,,,,,,,,,,,,,,,,,,,,,,
NGC3147,11.624135,1.0126600711,,3.0000055,0.28350642,,0.76594394,0.173461,,0.23217286,0.1028476,,,,,,,,,,,,,,,,
NGC3155,0.5195702,0.717884443243,,,,,,,,,,,,,,,,,,,,,,,,,
NGC3182,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC3184,14.200544,1.04261396537,,4.4913144,0.22298889,,1.2652699,0.09460975,,0.30416417,0.12496736,,,,,,,,,,,,,,,,
NGC3185,1.3554217,0.404285225472,,0.2818071,0.2779489,,,,,,,,,,,,,,,,,,,,,,
NGC3187,3.0830982,0.370334422531,C,,,,,,,,,,,,,,,,,,,,,,,,
NGC3190,4.131959,0.756755147174,C,1.4527811,0.3470676,C,,,,,,,,,,,,,,,,,,,,,
NGC3193,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC3198,8.712305,0.665920803177,,3.2781703,0.15373617,,1.0513062,0.103017434,,0.3275272,0.08137392,,,,,,,,,,,0.7738594,0.45491764,,,,
NGC3226,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC3227,5.8519135,0.453577746043,C,1.5526017,0.10932388,C,0.41467756,0.065445006,C,0.13148835,0.08792442,,,,,,,,,,,,,,,,
NGC3245A,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC3252,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC3254,2.0605052,0.234050010119,,0.59815896,0.13027336,,0.24574801,0.06260895,,,,,,,,,,,,,,,,,,,
NGC3256,13.911574,1.33437333043,,3.3460088,0.33693156,,0.90947115,0.1415363,,0.35902056,0.08231696,,,,,,,,,,,,,,,,
NGC3277,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC3283,0.7531649,2.38344067255,,,,,,,,,,,,,,,,,,,,,,,,,
NGC3287,1.8626093,0.31375054934,,0.3864154,0.18548562,,0.18604231,0.074016206,,,,,,,,,,,,,,,,,,,
NGC3294,5.5432487,0.545493221374,,1.5635577,0.21006848,,0.39917612,0.08377799,,,,,,,,,,,,,,,,,,,
NGC3301,,,,,,,,,,,,,,,,,,,,,,,,,0.2702033,0.28970546,
NGC3338,6.182985,0.691974273521,,2.148548,0.23605406,,0.7446783,0.09610957,,,,,,,,,,,,,,,,,,,
NGC3346,2.6881158,0.423008491725,,0.96612954,0.13084646,,,,,,,,,,,,,,,,,,,,,,
NGC3348,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC3351,13.90904,0.962362955994,,3.6923091,0.19635846,,1.0275321,0.09445982,,,,,,,,,,,,,,,,,,,
NGC3353,1.1853349,0.238914333961,,,,,,,,,,,,,,,,,,,,,,,,,
NGC3364,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC3370,3.4417102,0.478943061744,,1.2576691,0.17068036,,0.37187088,0.0995426,,,,,,,,,,,,,,,,,0.23272072,0.26928842,
NGC3380,,,,,,,,,,,,,,,,,,,,,,,,,,,
