name,IRAS_12,IRAS_12_err,IRAS_25,IRAS_25_err,IRAS_60,IRAS_60_err,IRAS_100,IRAS_100_err
NGC2679,,,,,-0.04,0.04373785686022997,0.32,0.13248395767983004
NGC2685,0.05,0.022360679441797805,,,0.3,0.07049113647394437,1.66,0.39717501593178145
NGC2764,0.28,0.06500000011462431,0.55,0.12167169200804588,3.73,0.7476737294876918,6.48,1.3142069881113798
NGC2768,0.08,0.023345235487515586,0.04,0.020615527495627374,0.35,0.07655716688655184,1.07,0.2562752528619828
NGC2778,0.23,0.05437830475816447,,,,,0.39,0.12061508855272707
NGC2787,0.1,0.042059482250818056,0.08,0.029681644280301588,0.64,0.13635614806931717,0.54,0.5497135378388983
NGC2798,0.75,0.15190786684702537,3.27,0.6551618083139003,19.79,3.9583823020812607,29.57,5.915978725215355
NGC2799,0.68,0.13810141345805518,2.96,0.5929755552793469,18.88,3.7767248685286896,24.78,4.957811347974086
NGC2841,0.32,0.06705221695822697,0.33,0.06896376097851967,2.7,0.5413353953020426,17.87,3.576363683761527
NGC2853,0.04,0.029120440339011865,,,0.29,0.07402702084124119,0.62,0.16509694020418272
NGC2859,0.07,0.026925824104849425,0.1,0.039446167590369584,0.22,0.053254107248042665,0.79,0.18233211735685925
NGC2907,,,0.09,0.033286635067969535,0.36,0.09372299745022443,1.1,0.3175547245449907
NGC2915,0.01,0.024083189361767815,0.06,0.025942243457709256,0.89,0.18544001481087014,,
NGC2950,0.05,0.022360679441797805,0.06,0.0268328157966375,0.16,0.044553337953648166,,
NGC2974,0.17,0.041048751824812595,0.07,0.02523885872573884,0.42,0.08919640978856345,1.35,0.31800000285202606
NGC2976,0.56,0.11360017642413905,0.86,0.17293929847289463,9.48,1.896685702148557,27.89,5.629536626018856
NGC2992,0.45,0.09314504592762915,1.39,0.27972307444660266,9.22,1.8444782993879023,18.07,3.6166720280445963
NGC2993,0.38,0.08000624896636485,1.64,0.3301938794561537,10.64,2.128497191035158,16.9,3.3848427559018983
NGC3031,0.99,0.19864541469570537,1.17,0.23503190417021824,8.04,1.6081122396899576,36.99,7.43402784336875
NGC3034,56.33,11.266014745749143,289.37,57.87400486371125,1115.53,223.10600892742335,1152.25,230.4587916939731
NGC3049,0.15,0.042426407239977794,0.42,0.09775479340629942,2.8,0.5656854152554629,4.19,0.957399090629789
NGC3073,0.08,0.03488552647079102,,,0.19,0.06280127417709121,0.3,0.2357625931747056
NGC3077,0.54,0.11042192232083181,1.99,0.3987229633821748,12.64,2.528178068714255,25.37,5.077263209836869
NGC3079,1.53,0.306789824624062,2.4,0.4805039212174049,44.28,8.856140901987493,95.26,19.05298811950518
NGC3081,,,,,,,,
NGC3147,0.99,0.19890952901280032,0.6,0.1214948604723393,6.78,1.3563775705522876,27.3,5.466770741651935
NGC3155,0.06,0.02163330685927894,0.06,0.023323807058053477,0.45,0.09931766974351572,1.42,0.4784150789654574
NGC3182,,,0.07,0.03220248365064346,0.4,0.10121264775258217,1.02,0.2780953016078165
NGC3184,0.31,0.06648308107437101,0.54,0.11182576124745355,3.27,0.6548320357149414,20.57,4.11563500532158
NGC3185,0.17,0.04601086820423027,0.19,0.06603029694796902,1.46,0.36924247138897864,3.28,1.4668606230945906
