name,IRAS_12,IRAS_12_err,IRAS_12_flag,IRAS_25,IRAS_25_err,IRAS_25_flag,IRAS_60,IRAS_60_err,IRAS_60_flag,IRAS_100,IRAS_100_err,IRAS_100_flag
NGC2798,0.75,0.151907866847,ec,3.27,0.655161808314,ec,19.79,3.95838230208,c,29.57,5.91597872522,c
NGC2799,0.68,0.138101413458,eC,2.96,0.592975555279,eC,18.88,3.77672486853,C,24.78,4.95781134797,C
NGC2841,0.32,0.0670522169582,e,0.33,0.0689637609785,e,2.7,0.541335395302,e,17.87,3.57636368376,e
NGC2853,0.04,0.029120440339,e,,,,0.29,0.0740270208412,,0.62,0.165096940204,
NGC2859,0.07,0.0269258241048,e,0.1,0.0394461675904,e,0.22,0.053254107248,,0.79,0.182332117357,
NGC2907,,,,0.09,0.033286635068,e,0.36,0.0937229974502,,1.1,0.317554724545,
NGC2915,0.01,0.0240831893618,e,0.06,0.0259422434577,e,0.89,0.185440014811,,,,
NGC2950,0.05,0.0223606794418,e,0.06,0.0268328157966,e,0.16,0.0445533379536,,,,
NGC2974,0.17,0.0410487518248,e,0.07,0.0252388587257,e,0.42,0.0891964097886,,1.35,0.318000002852,
NGC2976,0.56,0.113600176424,e,0.86,0.172939298473,e,9.48,1.89668570215,e,27.89,5.62953662602,e
NGC2992,0.45,0.0931450459276,e,1.39,0.279723074447,e,9.22,1.84447829939,e,18.07,3.61667202804,
NGC2993,0.38,0.0800062489664,e,1.64,0.330193879456,e,10.64,2.12849719104,,16.9,3.3848427559,
NGC3031,0.99,0.198645414696,e,1.17,0.23503190417,e,8.04,1.60811223969,e,36.99,7.43402784337,e
NGC3034,56.33,11.2660147457,e,289.37,57.8740048637,e,1115.53,223.106008927,e,1152.25,230.458791694,e
NGC3049,0.15,0.04242640724,e,0.42,0.0977547934063,e,2.8,0.565685415255,,4.19,0.95739909063,
NGC3073,0.08,0.0348855264708,e,,,,0.19,0.0628012741771,,0.3,0.235762593175,
NGC3077,0.54,0.110421922321,e,1.99,0.398722963382,e,12.64,2.52817806871,e,25.37,5.07726320984,
NGC3079,1.53,0.306789824624,e,2.4,0.480503921217,e,44.28,8.85614090199,e,95.26,19.0529881195,e
NGC3081,,,,,,,,,,,,
NGC3147,0.99,0.198909529013,e,0.6,0.121494860472,e,6.78,1.35637757055,e,27.3,5.46677074165,
NGC3155,0.06,0.0216333068593,e,0.06,0.0233238070581,e,0.45,0.0993176697435,,1.42,0.478415078965,
NGC3182,,,,0.07,0.0322024836506,e,0.4,0.101212647753,,1.02,0.278095301608,
NGC3184,0.31,0.0664830810744,e,0.54,0.111825761247,e,3.27,0.654832035715,e,20.57,4.11563500532,e
NGC3185,0.17,0.0460108682042,e,0.19,0.066030296948,e,1.46,0.369242471389,,3.28,1.46686062309,
NGC3187,0.08,0.0403112890372,e,0.09,0.044777227679,e,0.72,0.158823807635,,2.78,0.833532832928,
NGC3190,0.29,0.0620322480744,e,0.36,0.0823650431947,e,3.06,0.613579649248,e,10.15,2.0553792079,
NGC3193,-0.0,0.0270000007004,ec,0.08,0.0505964428454,ec,,,,1.56,0.347056178987,c
NGC3198,0.24,0.0512640211953,e,0.62,0.126495060201,e,3.86,0.772582660668,e,14.0,2.80167967487,e
NGC3226,0.5,0.101980390184,eC,1.57,0.317351550487,eC,6.91,1.38239390755,eC,15.24,3.05013109898,C
NGC3227,0.64,0.130418554225,eC,1.81,0.365168442988,eC,7.26,1.45244625815,eC,16.64,3.33165412198,eC
NGC3245A,,,,,,,0.05,0.0278567771085,,0.26,0.0954148809963,
NGC3252,0.12,0.0288444101789,e,0.11,0.0325576412654,e,0.85,0.179947219105,,1.56,0.830809222076,
NGC3254,,,,,,,0.26,0.0656048758105,e,2.23,0.46083836931,
NGC3256,3.31,0.662365446595,e,16.12,3.22416905299,e,90.27,18.0542440373,e,113.2,22.6466790584,
NGC3277,0.1,0.0320156216642,e,,,,0.7,0.143610582583,,1.98,0.417420654535,
NGC3283,0.07,0.0331058901321,e,0.09,0.0324499624587,e,0.9,0.193132074822,,3.87,0.973836222783,
NGC3287,0.14,0.0388973012495,e,0.27,0.0660302971285,e,1.7,0.342965022482,,5.26,1.05815882377,
NGC3294,0.51,0.104560985138,e,0.66,0.135148071893,e,5.97,1.19463672297,e,16.45,3.29315001211,
NGC3301,,,,0.03,0.0394588400888,e,0.49,0.104062483078,,0.77,0.195233189241,
NGC3338,0.27,0.0608276276057,e,0.27,0.0672011916577,e,2.86,0.573689790721,e,10.74,2.15118404676,e
NGC3346,0.08,0.0280178512847,e,0.25,0.0693108940936,e,1.27,0.256826785926,e,4.97,1.00097947869,
NGC3348,,,,,,,,,,,,
NGC3351,0.72,0.146891121582,e,2.28,0.458215009512,e,16.9,3.38048051085,e,33.25,6.65115598971,e
NGC3353,0.22,0.0666033036232,e,0.95,0.19220041375,e,5.34,1.07186989175,,6.71,1.37049188939,
NGC3364,0.11,0.0380131551353,e,,,,0.73,0.155666313842,,3.41,0.808918429441,
NGC3370,0.3,0.0666408301097,e,0.36,0.080950604984,e,3.52,0.705703191507,e,9.52,1.91610055847,
NGC3380,0.09,0.034132096,e,0.13,0.0545893761685,e,0.64,0.134406098673,,1.64,0.363638556496,
NGC3381,0.1,0.0290000000005,e,0.11,0.0364005487095,e,1.35,0.272660966187,,4.0,0.805980148327,
NGC3395,0.22,0.0511077294244,eC,0.51,0.106320268861,eC,7.86,1.57347007739,eC,16.04,3.22054672068,C
NGC3396,0.19,0.0424852908728,eC,0.62,0.126905477716,eC,7.41,1.48325483637,eC,15.75,3.1631383139,C
NGC3403,0.15,0.0344818807918,e,0.08,0.0248394839991,e,0.98,0.198436391481,e,4.5,0.935700810209,
NGC3413,,,,,,,0.97,0.280071428499,,1.72,0.895692491995,
NGC3414,0.05,0.0269258244369,e,0.06,0.0332415397079,e,0.2,0.0572800151933,,0.44,0.218504007076,
NGC3424,0.45,0.0945568586748,e,0.95,0.193018131842,e,7.98,1.60080979872,e,17.55,3.52872043846,
NGC3430,0.22,0.0487544866359,e,0.3,0.0689637615835,e,2.97,0.595214252774,e,10.03,2.01182623128,
NGC3437,0.66,0.135591302646,e,1.25,0.254950975826,e,11.17,2.23451562273,e,19.78,3.96000266258,
NGC3440,0.09,0.033286635068,e,0.23,0.0509901958373,e,0.65,0.133195340428,,0.92,0.231205539283,
NGC3445,-5.8,1.16020864007,ec,0.2,0.0488262234469,ec,2.05,0.415932677511,c,4.37,0.890379672162,c
NGC3448,0.2,0.0447213598832,e,0.44,0.0914822383564,e,5.55,1.11052063682,e,11.25,2.25217694684,
NGC3454,0.1,0.0352278293899,e,0.08,0.0440113630943,e,0.59,0.134718218709,,0.95,0.249687803564,
NGC3455,0.09,0.0324499624587,e,,,,0.86,0.182164762847,,2.78,0.587567862235,
NGC3458,0.08,0.0296816442803,e,,,,0.05,0.0383275362927,,,,
NGC3485,,,,,,,,,,,,
NGC3488,0.08,0.0272029407107,e,,,,0.45,0.0993176697435,e,1.88,0.399500939587,
NGC3501,,,,,,,,,,,,
NGC3504,1.09,0.219428810618,e,3.82,0.765209108496,e,19.4,3.88061340612,e,33.97,6.79660086477,
NGC3512,-0.02,0.0421900456473,e,0.16,0.0496789679981,e,1.45,0.298328687144,,3.88,0.89603574031,
NGC3516,0.44,0.0907083232721,e,0.9,0.180897756358,e,1.84,0.370741156434,,2.46,0.577293685359,
NGC3521,2.12,0.425789831553,e,2.22,0.446480688194,e,31.44,6.28820692592,e,104.17,20.8358945509,e
NGC3526,0.11,0.0388329768628,e,,,,0.71,0.146996594139,,1.8,0.417784624025,
